SBABranchID	SBADistrictOffice	CongressionalDistrict
130	NEW JERSEY DISTRICT OFFICE 	09
131	MASSACHUSETTS DISTRICT OFFICE 	07
132	ARIZONA DISTRICT OFFICE 	03
133	MISSISSIPPI DISTRICT OFFICE 	03
134	SAN FRANCISCO DISTRICT OFFICE 	14
135	RICHMOND DISTRICT OFFICE 	06
136	UTAH DISTRICT OFFICE 	04
137	DALLAS / FT WORTH DISTRICT OFFICE 	24
138	ILLINOIS DISTRICT OFFICE 	18
139	SACRAMENTO DISTRICT OFFICE 	01
140	UTAH DISTRICT OFFICE 	03
141	BALTIMORE DISTRICT OFFICE 	08
142	NEW JERSEY DISTRICT OFFICE 	07
143	MINNESOTA DISTRICT OFFICE 	02
144	NORTH DAKOTA DISTRICT OFFICE 	00
145	MICHIGAN DISTRICT OFFICE 	07
146	KANSAS CITY DISTRICT OFFICE 	05
147	MICHIGAN DISTRICT OFFICE 	03
148	CONNECTICUT DISTRICT OFFICE 	04
149	ILLINOIS DISTRICT OFFICE 	04
150	DALLAS / FT WORTH DISTRICT OFFICE 	26
151	RICHMOND DISTRICT OFFICE 	03
152	PORTLAND DISTRICT OFFICE 	01
153	LOS ANGELES DISTRICT OFFICE 	32
154	DALLAS / FT WORTH DISTRICT OFFICE 	06
155	PHILADELPHIA DISTRICT OFFICE 	12
156	WISCONSIN DISTRICT OFFICE 	02
157	WEST VIRGINIA DISTRICT OFFICE 	03
158	SYRACUSE DISTRICT OFFICE 	20
159	LOS ANGELES DISTRICT OFFICE 	27
160	DES MOINES DISTRICT OFFICE 	03
161	BOISE DISTRICT OFFICE 	01
162	INDIANA DISTRICT OFFICE 	05
163	GEORGIA DISTRICT OFFICE 	09
164	SOUTH DAKOTA DISTRICT OFFICE 	00
165	MICHIGAN DISTRICT OFFICE 	04
166	RICHMOND DISTRICT OFFICE 	07
167	PITTSBURGH DISTRICT OFFICE 	14
168	PITTSBURGH DISTRICT OFFICE 	16
169	NEW YORK DISTRICT OFFICE 	12
170	MICHIGAN DISTRICT OFFICE 	14
171	PORTLAND DISTRICT OFFICE 	03
172	ILLINOIS DISTRICT OFFICE 	14
173	SAN FRANCISCO DISTRICT OFFICE 	11
174	NORTH CAROLINA DISTRICT OFFICE 	06
175	MASSACHUSETTS DISTRICT OFFICE 	04
176	MASSACHUSETTS DISTRICT OFFICE 	08
177	INDIANA DISTRICT OFFICE 	04
178	SPOKANE BRANCH OFFICE 	04
179	NORTH CAROLINA DISTRICT OFFICE 	07
180	COLUMBUS DISTRICT OFFICE 	01
181	PHILADELPHIA DISTRICT OFFICE 	13
182	SANTA ANA DISTRICT OFFICE 	46
183	ILLINOIS DISTRICT OFFICE 	07
184	LOS ANGELES DISTRICT OFFICE 	33
185	RICHMOND DISTRICT OFFICE 	10
186	NEW JERSEY DISTRICT OFFICE 	08
187	PHILADELPHIA DISTRICT OFFICE 	10
188	MASSACHUSETTS DISTRICT OFFICE 	02
189	CONNECTICUT DISTRICT OFFICE 	01
190	LOS ANGELES DISTRICT OFFICE 	28
191	RICHMOND DISTRICT OFFICE 	05
192	CLEVELAND DISTRICT OFFICE 	13
193	LOWER RIO GRANDE VALLEY DISTRICT OFFICE 	34
194	TENNESSEE DISTRICT OFFICE 	06
195	NEW MEXICO DISTRICT OFFICE 	03
196	ARIZONA DISTRICT OFFICE 	06
197	NEW YORK DISTRICT OFFICE 	08
198	WICHITA DISTRICT OFFICE 	01
199	MICHIGAN DISTRICT OFFICE 	12
200	CLEVELAND DISTRICT OFFICE 	11
201	COLORADO DISTRICT OFFICE 	03
202	NEW HAMPSHIRE DISTRICT OFFICE 	01
203	CLEVELAND DISTRICT OFFICE 	06
204	SANTA ANA DISTRICT OFFICE 	47
205	HAWAII DISTRICT OFFICE 	02
206	NEVADA DISTRICT OFFICE 	03
207	SAN ANTONIO DISTRICT OFFICE 	21
208	LOUISIANA DISTRICT OFFICE 	02
209	SEATTLE DISTRICT OFFICE 	10
210	PITTSBURGH DISTRICT OFFICE 	13
211	SAN ANTONIO DISTRICT OFFICE 	31
