BankID	BankName	BankStreet	BankCity	BankState	BankZip
9446	Pacific Premier Bank	"17901 Von Karman Ave, Ste 1200"	IRVINE	CA	92614
9447	Beneficial State Bank	"1438 Webster St, Ste 100"	OAKLAND	CA	94612
9448	Arvest Bank	75 N East Ave	FAYETTEVILLE	AR	72701
9449	Bank of the West	180 Montgomery St	SAN FRANCISCO	CA	94104
9450	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
9451	"Citibank, N.A."	701 East 60th St North	SIOUX FALLS	SD	57104
9452	First Commonwealth Bank	600 Philadelphia St	INDIANA	PA	15701
9453	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9454	Reliabank Dakota	211 N Main St	ESTELLINE	SD	57234
9455	First Horizon Bank	165 Madison Ave	MEMPHIS	TN	38103
9456	"Fulton Bank, National Association"	One Penn Sq	LANCASTER	PA	17602
9457	Citizens State Bank of Lankin	401 Main St	LANKIN	ND	58250
9458	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
9459	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9460	Columbia State Bank	1301 A St	TACOMA	WA	98402
9461	"NBT Bank, National Association"	52 S Broad St	NORWICH	NY	13815
9462	Cogent Bank	1113 Saxon Blvd	ORANGE CITY	FL	32763
9463	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
9464	Emprise Bank	257 N Broadway St	WICHITA	KS	67202
9465	"UMB Bank, National Association"	1010 Grand Blvd	KANSAS CITY	MO	64106
9466	"Horizon Bank, SSB"	"600 Congress, Ste 400"	AUSTIN	TX	78701
9467	Manufacturers and Traders Trust Company	"One M & T Plaza, 15th Fl"	BUFFALO	NY	14203
9468	"People's United Bank, National Association"	850 Main St	BRIDGEPORT	CT	06604
9469	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
9470	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9471	The Merchants and Farmers Bank of Salisbury	507 N Weber	SALISBURY	MO	65281
9472	VIST Bank	1240 Broadcasting Rd	WYOMISSING	PA	19610
9473	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9474	"People's United Bank, National Association"	850 Main St	BRIDGEPORT	CT	06604
9475	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9476	Ledyard National Bank	320 Main St	NORWICH	VT	05055
9477	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9478	Five Star Bank	55 N Main St	WARSAW	NY	14569
9479	"INTRUST Bank, National Association"	105 N Main St	WICHITA	KS	67202
9480	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
9481	Central Bank of Oklahoma	"8908 S Yale Ave, Ste 100"	TULSA	OK	74137
9482	The Yellowstone Bank	12 1st Ave	LAUREL	MT	59044
9483	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
9484	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
9485	Trustmark National Bank	248 E Capitol St	JACKSON	MS	39201
9486	Union Bank and Trust Company	3643 S 48th St	LINCOLN	NE	68506
9487	Manufacturers and Traders Trust Company	"One M & T Plaza, 15th Fl"	BUFFALO	NY	14203
9488	Dogwood State Bank	5401 Six Forks Rd	RALEIGH	NC	27609
9489	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
