BankID	BankName	BankStreet	BankCity	BankState	BankZip
1	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
2	Plumas Bank	336 W Main St	QUINCY	CA	95971
3	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
4	Union Savings Bank	226 Main St	DANBURY	CT	06810
5	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
6	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
7	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
8	Lake Region Bank	51 Main St	NEW LONDON	MN	56273
9	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
10	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
11	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
12	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
13	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
14	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
15	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
16	Gain FCU	1800 W Magnolia Blvd	BURBANK	CA	91506
17	First National Community Bank	109 E 2nd St	NEW RICHMOND	WI	54017
18	Renasant Bank	209 Troy St	TUPELO	MS	38804
19	Oriental Bank	"254 Ave Mu<td,n>oz Rivera, Esq"	SAN JUAN	PR	00918
20	The Citizens Bank	655 Saint Louis St	BATESVILLE	AR	72501
21	Austin County State Bank	436 S Front St	BELLVILLE	TX	77418
22	"North Shore Bank, A Cooperative Bank"	248 Andover St	PEABODY	MA	01960
23	Lower East Side People's FCU	37 Ave B	NEW YORK CITY	NY	10009
24	Seacoast Commerce Bank	"11939 Rancho Bernardo Rd, Ste"	SAN DIEGO	CA	92128
25	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
26	First Colorado National Bank	133 Grand Ave	PAONIA	CO	81428
27	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
28	"Associated Bank, National Association"	200 N Adams St	GREEN BAY	WI	54301
29	First Colorado National Bank	133 Grand Ave	PAONIA	CO	81428
30	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
31	Sullivan Bank	318 W Main St	SULLIVAN	MO	63080
32	Oriental Bank	"254 Ave Mu<td,n>oz Rivera, Esq"	SAN JUAN	PR	00918
33	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
34	"Citizens Bank, National Association"	1 Citizens Plaza	PROVIDENCE	RI	02903
35	BMO Harris Bank National Association	111 W Monroe St	CHICAGO	IL	60603
36	BancorpSouth Bank	201 S Spring St	TUPELO	MS	38804
37	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
38	Peoples Bank	138 Putnam St	MARIETTA	OH	45750
39	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
40	Passumpsic Savings Bank	497 Railroad St	SAINT JOHNSBURY	VT	05819
41	BMO Harris Bank National Association	111 W Monroe St	CHICAGO	IL	60603
42	First Midwest Bank of the Ozarks	1025 S Main	PIEDMONT	MO	63957
43	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
44	BMO Harris Bank National Association	111 W Monroe St	CHICAGO	IL	60603
45	RiverWood Bank	14633 Edgewood Dr	BAXTER	MN	56425
46	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
47	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
48	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
49	Simmons Bank	501 Main St	PINE BLUFF	AR	71601
50	American Bank of Commerce	530 E Hwy 62/82	WOLFFORTH	TX	79382
51	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
52	TCF National Bank	2508 S Louise Ave	SIOUX FALLS	SD	57106
53	Pacific Western Bank	"9701 Wilshire Blvd, Ste 700"	BEVERLY HILLS	CA	90212
54	Choice Financial Group	4501 23rd Ave South	FARGO	ND	58104
55	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
56	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
57	bankcda	912 Northwest Blvd	COEUR D'ALENE	ID	83814
58	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
59	Jefferson Bank of Missouri	700 Southwest Blvd	JEFFERSON CITY	MO	65109
60	Mountain America FCU	9800 S Monroe St	SANDY	UT	84070
61	Machias Savings Bank	4 Center St	MACHIAS	ME	04654
62	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
63	BMO Harris Bank National Association	111 W Monroe St	CHICAGO	IL	60603
64	Pacific Premier Bank	"17901 Von Karman Ave, Ste 1200"	IRVINE	CA	92614
65	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
66	Live Oak Banking Company	1741 Tiburon Dr	WILMINGTON	NC	28403
67	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
68	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
69	BMO Harris Bank National Association	111 W Monroe St	CHICAGO	IL	60603
70	Plains State Bank	19404 Kenswick Dr	HUMBLE	TX	77338
71	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
72	"Community Trust Bank, Inc."	346 N Mayo Trl	PIKEVILLE	KY	41501
73	Colony Bank	115 S Grant St	FITZGERALD	GA	31750
74	American Bank of the North	117 Central Ave	NASHWAUK	MN	55769
75	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
76	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
77	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
78	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
79	Manufacturers and Traders Trust Company	"One M & T Plaza, 15th Fl"	BUFFALO	NY	14203
80	Peoples Bank of Alabama	1912 Cherokee Ave SW	CULLMAN	AL	35055
81	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
82	Central National Bank	8320 W Hwy 84	WACO	TX	76712
83	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
84	Camden National Bank	2 Elm St	CAMDEN	ME	04843
85	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
86	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
87	Popular Bank	11 W 51st St	NEW YORK CITY	NY	10019
88	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
89	TCF National Bank	2508 S Louise Ave	SIOUX FALLS	SD	57106
90	Shinhan Bank America	475 Park Ave S 4th Flr	NEW YORK CITY	NY	10016
91	The Old Fort Banking Company	8034 Main St	OLD FORT	OH	44861
92	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
93	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
94	Independent Bank	3090 Craig Dr	MCKINNEY	TX	75070
95	Fifth Third Bank	38 Fountain Sq Plz	CINCINNATI	OH	45263
96	D. L. Evans Bank	375 N Overland Ave	BURLEY	ID	83318
97	Seattle Economic Development Fund dba Community Ca	1437 South Jackson	Seattle	WA	98144
98	"TD Bank, National Association"	2035 Limestone Rd	WILMINGTON	DE	19808
99	Frandsen Bank & Trust	116 W Central St	LONSDALE	MN	55046
100	"MUFG Union Bank, National Association"	"400 California St., Mailcode 4"	SAN FRANCISCO	CA	94104
101	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
102	Hancock Whitney Bank	2510 14th St	GULFPORT	MS	39501
103	Enterprise Bank and Trust Company	222 Merrimack St	LOWELL	MA	01852
104	"Town Bank, National Association"	850 W North Shore Dr	HARTLAND	WI	53029
105	Frandsen Bank & Trust	116 W Central St	LONSDALE	MN	55046
106	MountainOne Bank	93 Main St	NORTH ADAMS	MA	01247
107	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
108	American Bank of the North	117 Central Ave	NASHWAUK	MN	55769
109	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
110	Live Oak Banking Company	1741 Tiburon Dr	WILMINGTON	NC	28403
111	First National Bank Baird d/b/a First Bank Texas	244 Market St	BAIRD	TX	79504
112	First American Bank	303 W Main St	ARTESIA	NM	88210
113	United Business Bank	"500 Ygnacio Valley Rd, Ste 200"	WALNUT CREEK	CA	94596
114	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
115	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
116	The Miners State Bank	312 W Genesee St	IRON RIVER	MI	49935
117	"Iowa State Bank and Trust Company of Fairfield, Iowa"	55 S 4th St	FAIRFIELD	IA	52556
118	Trustmark National Bank	248 E Capitol St	JACKSON	MS	39201
119	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
120	Live Oak Banking Company	1741 Tiburon Dr	WILMINGTON	NC	28403
121	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
122	"Citizens Bank, National Association"	1 Citizens Plaza	PROVIDENCE	RI	02903
123	CIBC Bank USA	120 S LaSalle St	CHICAGO	IL	60603
124	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
125	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
126	Navy FCU	820 Follin Ln	VIENNA	VA	22180
127	Bank Five Nine	155 W Wisconsin Ave	OCONOMOWOC	WI	53066
128	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
129	Fifth Third Bank	38 Fountain Sq Plz	CINCINNATI	OH	45263
130	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
131	Hancock Whitney Bank	2510 14th St	GULFPORT	MS	39501
132	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
133	HarborOne Bank	770 Oak St	BROCKTON	MA	02301
134	Independent Bank	3090 Craig Dr	MCKINNEY	TX	75070
135	GBC International Bank	"5670 Wilshire Blvd, Ste 1780"	LOS ANGELES	CA	90036
136	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
137	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
138	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
139	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
140	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
141	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
142	"OneWest Bank, A Division of"	95 S Lake Ave	PASADENA	CA	91101
143	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
144	Hancock Whitney Bank	2510 14th St	GULFPORT	MS	39501
145	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
146	Oriental Bank	"254 Ave Mu<td,n>oz Rivera, Esq"	SAN JUAN	PR	00918
147	Machias Savings Bank	4 Center St	MACHIAS	ME	04654
148	Beneficial State Bank	"1438 Webster St, Ste 100"	OAKLAND	CA	94612
149	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
150	"Associated Bank, National Association"	200 N Adams St	GREEN BAY	WI	54301
151	First Financial Bank	214 N Washington	EL DORADO	AR	71730
152	Heartland Bank	430 N Hamilton Rd	WHITEHALL	OH	43213
153	"Community Bank, National Association"	45-49 Court St	CANTON	NY	13617
154	Glacier Bank	202 Main St	KALISPELL	MT	59901
155	"American Savings Bank, FSB"	1001 Bishop St	HONOLULU	HI	96813
156	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
157	First National Bank of Louisiana	128 N Parkerson Ave	CROWLEY	LA	70526
158	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
159	BankIowa	7045 C Ave NE	CEDAR RAPIDS	IA	52402
160	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
161	Hometown Bank	80 Sheboygan St	FOND DU LAC	WI	54935
162	Hanmi Bank	"3660 Wilshire Blvd, PH-A"	LOS ANGELES	CA	90010
163	Centier Bank	1500 119th St	WHITING	IN	46394
164	Mountain America FCU	9800 S Monroe St	SANDY	UT	84070
165	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
166	Bank of Utah	2605 Washington Blvd	OGDEN	UT	84401
167	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
168	Salem Five Cents Savings Bank	210 Essex St	SALEM	MA	01970
169	Salem Five Cents Savings Bank	210 Essex St	SALEM	MA	01970
170	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
171	Peoples Bank	160 E Maud Ave	MENDENHALL	MS	39114
172	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
173	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
174	Farmers & Merchants Bank	165 New Market Rd	TIMBERVILLE	VA	22853
175	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
176	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
177	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
178	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
179	First Guaranty Bank	400 E Thomas St	HAMMOND	LA	70401
180	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
181	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
182	Regions Bank	1900 5th Ave North	BIRMINGHAM	AL	35203
183	Mountain America FCU	9800 S Monroe St	SANDY	UT	84070
184	Wasatch Peaks FCU	4723 Harrison Blvd	OGDEN	UT	84403
185	East West Bank	"135 N Los Robles Ave, 7th Fl"	PASADENA	CA	91101
186	Mountain America FCU	9800 S Monroe St	SANDY	UT	84070
187	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
188	Manufacturers and Traders Trust Company	"One M & T Plaza, 15th Fl"	BUFFALO	NY	14203
189	"TD Bank, National Association"	2035 Limestone Rd	WILMINGTON	DE	19808
190	"Sunrise Banks, National Association"	200 University Ave West	SAINT PAUL	MN	55103
191	Pacific Premier Bank	"17901 Von Karman Ave, Ste 1200"	IRVINE	CA	92614
192	First Financial Bank	214 N Washington	EL DORADO	AR	71730
193	Choice Financial Group	4501 23rd Ave South	FARGO	ND	58104
194	Eastern Bank	265 Franklin St	BOSTON	MA	02110
195	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
196	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
197	Mercantile Bank of Michigan	310 Leonard St NW	GRAND RAPIDS	MI	49504
198	Fairfield County Bank	150 Danbury Rd	RIDGEFIELD	CT	06877
199	EH National Bank	"8484 Wilshire Blvd, Ste 100"	BEVERLY HILLS	CA	90211
200	Gulf Coast Bank and Trust Company	200 St. Charles Ave	NEW ORLEANS	LA	70130
201	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
202	Columbia State Bank	1301 A St	TACOMA	WA	98402
203	East West Bank	"135 N Los Robles Ave, 7th Fl"	PASADENA	CA	91101
204	Citizens National Bank of Texas	200 N Elm St	Waxahachie	TX	75165
205	Altabank	33 E Main St	AMERICAN FORK	UT	84003
206	"KEB Hana Bank USA, National Association"	201 Main St	FORT LEE	NJ	07024
207	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
208	Northeast Bank	500 Canal St	LEWISTON	ME	04240
209	Mountain America FCU	9800 S Monroe St	SANDY	UT	84070
210	Monona Bank	5515 Monona Dr	MONONA	WI	53716
211	"MVB Bank, Inc."	301 Virginia Ave	FAIRMONT	WV	26554
212	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
213	EH National Bank	"8484 Wilshire Blvd, Ste 100"	BEVERLY HILLS	CA	90211
214	"Readycap Lending, LLC"	200 Connell Drive	BERKELEY HEIGHTS	NJ	07922
215	Berkshire Bank	99 North St	PITTSFIELD	MA	01201
216	Community State Bank	817 N Ankeny Blvd	ANKENY	IA	50023
217	Glacier Bank	202 Main St	KALISPELL	MT	59901
218	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
219	First Financial Bank	214 N Washington	EL DORADO	AR	71730
220	First Savings Bank	201 N Third	BERESFORD	SD	57004
221	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
222	Manufacturers and Traders Trust Company	"One M & T Plaza, 15th Fl"	BUFFALO	NY	14203
223	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
224	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
225	Mountain America FCU	9800 S Monroe St	SANDY	UT	84070
226	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
227	Hanmi Bank	"3660 Wilshire Blvd, PH-A"	LOS ANGELES	CA	90010
228	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
229	EH National Bank	"8484 Wilshire Blvd, Ste 100"	BEVERLY HILLS	CA	90211
230	Enterprise Bank	4091 Mount Royal Blvd	ALLISON PARK	PA	15101
231	WoodTrust Bank	181 2nd St South	WISCONSIN RAPIDS	WI	54494
232	Northwest Bank	705 Grand Ave	SPENCER	IA	51301
233	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
234	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
235	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
236	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
237	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
238	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
239	"Citizens Bank, National Association"	1 Citizens Plaza	PROVIDENCE	RI	02903
240	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
241	First Republic Bank	111 Pine St	SAN FRANCISCO	CA	94111
242	Fifth Third Bank	38 Fountain Sq Plz	CINCINNATI	OH	45263
243	"Readycap Lending, LLC"	200 Connell Drive	BERKELEY HEIGHTS	NJ	07922
244	Eastern Bank	265 Franklin St	BOSTON	MA	02110
245	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
246	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
247	Midland States Bank	110 S. 5th St	EFFINGHAM	IL	62401
248	Manufacturers and Traders Trust Company	"One M & T Plaza, 15th Fl"	BUFFALO	NY	14203
249	Middlesex Savings Bank	6 Main St	NATICK	MA	01760
250	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
251	"Bremer Bank, National Association"	372 St. Peter St	SAINT PAUL	MN	55102
252	State Bank of Lizton	206 N State St	LIZTON	IN	46149
253	Frost Bank	100 W Houston St	SAN ANTONIO	TX	78205
254	"People's United Bank, National Association"	850 Main St	BRIDGEPORT	CT	06604
255	Middlesex Savings Bank	6 Main St	NATICK	MA	01760
256	Numerica CU	14610 E Sprague Ave	SPOKANE VALLEY	WA	99216
257	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
258	Eastern Bank	265 Franklin St	BOSTON	MA	02110
259	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
260	Waukesha State Bank	151 E St. Paul Ave	WAUKESHA	WI	53188
261	Manufacturers and Traders Trust Company	"One M & T Plaza, 15th Fl"	BUFFALO	NY	14203
262	Pacific Premier Bank	"17901 Von Karman Ave, Ste 1200"	IRVINE	CA	92614
263	Bank of the Sierra	90 N Main St	PORTERVILLE	CA	93257
264	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
265	Pacific Premier Bank	"17901 Von Karman Ave, Ste 1200"	IRVINE	CA	92614
266	Bank of the Southwest	226 N Main St	ROSWELL	NM	88201
267	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
268	Fifth Third Bank	38 Fountain Sq Plz	CINCINNATI	OH	45263
269	First Bank	112 W King St	STRASBURG	VA	22657
270	Magyar Bank	400 Somerset St	NEW BRUNSWICK	NJ	08901
271	Pacific Premier Bank	"17901 Von Karman Ave, Ste 1200"	IRVINE	CA	92614
272	First National Bank of Pennsylvania	166 Main St	GREENVILLE	PA	16125
273	UniBank for Savings	49 Church St	WHITINSVILLE	MA	01588
274	"People's United Bank, National Association"	850 Main St	BRIDGEPORT	CT	06604
275	Seacoast Commerce Bank	"11939 Rancho Bernardo Rd, Ste"	SAN DIEGO	CA	92128
276	Bank of the Sierra	90 N Main St	PORTERVILLE	CA	93257
277	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
278	"CFBank, National Association"	7000 N High St	WORTHINGTON	OH	43085
279	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
280	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
281	BMO Harris Bank National Association	111 W Monroe St	CHICAGO	IL	60603
282	"BankUnited, National Association"	14817 Oak Lane	MIAMI LAKES	FL	33016
283	Century Bank	100 S Federal Pl	SANTA FE	NM	87501
284	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
285	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
286	"HSBC Bank USA, National Association"	"1800 Tysons Blvd, Ste 50"	MCLEAN	VA	22102
287	"People's United Bank, National Association"	850 Main St	BRIDGEPORT	CT	06604
288	The First National Bank of Spearville	401 N Main St	SPEARVILLE	KS	67876
289	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
290	Old National Bank	One Main St	EVANSVILLE	IN	47708
291	Banco Popular de Puerto Rico	"209 Avenida Luis Mu<td,n>oz Ri"	SAN JUAN	PR	00918
292	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
293	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
294	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
295	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
296	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
297	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
298	Five Star Bank	55 N Main St	WARSAW	NY	14569
299	Gulf Coast Bank and Trust Company	200 St. Charles Ave	NEW ORLEANS	LA	70130
300	FirstBank Puerto Rico	"1519 Ave Ponce de Le<ac,o>n"	SANTURCE	PR	00909
301	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
302	Bangor Savings Bank	24 Hamlin Way	BANGOR	ME	04401
303	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
304	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
305	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
306	First IC Bank	5593 Buford Hwy	DORAVILLE	GA	30340
307	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
308	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
309	Hawaii National Bank	45 N King St	HONOLULU	HI	96817
310	Old National Bank	One Main St	EVANSVILLE	IN	47708
311	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
312	Eastern Bank	265 Franklin St	BOSTON	MA	02110
313	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
314	Gulf Coast Bank and Trust Company	200 St. Charles Ave	NEW ORLEANS	LA	70130
315	"Pendleton Community Bank, Inc."	128 N Main St	FRANKLIN	WV	26807
316	First Hawaiian Bank	999 Bishop St	HONOLULU	HI	96813
317	Timberland Bank	624 Simpson Ave	HOQUIAM	WA	98550
318	First Hawaiian Bank	999 Bishop St	HONOLULU	HI	96813
319	"Standard Bank, PaSB"	4785 Old William Penn Hwy	MURRYSVILLE	PA	15632
320	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
321	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
322	America First FCU	1344 West 4675 South	RIVERDALE	UT	84405
323	Premier Valley Bank	"255 E River Park Circle Dr, St"	FRESNO	CA	93720
324	Live Oak Banking Company	1741 Tiburon Dr	WILMINGTON	NC	28403
325	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
326	First Choice Bank	"17785 Center Court Dr, Ste 750"	CERRITOS	CA	90703
327	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
328	Federal Deposit Insurance Corporation	550 17th St NW	WASHINGTON	DC	20429
329	Metro City Bank	5114 Buford Hwy	DORAVILLE	GA	30340
330	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
331	Independent Bank	3090 Craig Dr	MCKINNEY	TX	75070
332	Central Pacific Bank	220 S King St	HONOLULU	HI	96813
333	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
334	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
335	Atlantic Union Bank	"1051 E Cary St, Ste 103"	RICHMOND	VA	23219
336	Core Bank	17807 Burke St	OMAHA	NE	68118
337	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
338	Centennial Bank	620 Chestnut St	CONWAY	AR	72032
339	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
340	Atlantic Union Bank	"1051 E Cary St, Ste 103"	RICHMOND	VA	23219
341	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
342	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
343	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
344	Pacific City Bank	"3701 Wilshire Blvd, Ste 900"	LOS ANGELES	CA	90010
345	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
346	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
347	"CFBank, National Association"	7000 N High St	WORTHINGTON	OH	43085
348	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
349	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
350	Norway Savings Bank	261 Main St	NORWAY	ME	04268
351	BankIowa	7045 C Ave NE	CEDAR RAPIDS	IA	52402
352	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
353	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
354	"Bremer Bank, National Association"	372 St. Peter St	SAINT PAUL	MN	55102
355	The Park National Bank	50 N Third St	NEWARK	OH	43055
356	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
357	American Eagle Financial CU	417 Main St	EAST HARTFORD	CT	06118
358	Norway Savings Bank	261 Main St	NORWAY	ME	04268
